csv_line,tier,confidence,proposed_doi,new_original_url,old_original_url,csv_title,csv_journal,csv_year,resolved_title,resolved_journal,resolved_year,note
3414,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/3649214/,A descriptive study of nurses recovering from chemical dependency,Archives of Psychiatric Nursing,1987,,,,matched paper but it has no DOI
3913,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/3391789/,Importance of nurse caring behaviors as perceived by patients after myocardial infarction,Heart & Lung,1988,,,,matched paper but it has no DOI (pmid 3391789)
4003,D,REVIEW-REQUIRED,10.1002/1531-8249(200005)47:5<571::aid-ana3>3.0.co;2-a,https://doi.org/10.1002/1531-8249(200005)47:5<571::aid-ana3>3.0.co;2-a,https://pubmed.ncbi.nlm.nih.gov/10805326/,"Interleukin (IL)1beta, IL-1alpha, and IL-1 receptor antagonist gene polymorphisms in patients with temporal lobe epileps",Annals of Neurology,2000,"Interleukin (IL)-1?, IL-1?, and IL-1 receptor antagonist gene polymorphisms in patients with temporal lobe epilepsy",Annals of Neurology,2000,title match (gated)
4031,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/16807529/,The TGFB1 gene codon 10 polymorphism contributes to the genetic predisposition to high myopia,Molecular Vision,2006,,,,matched paper but it has no DOI
4165,D,REVIEW-REQUIRED,10.1177/107939179803300105,https://doi.org/10.1177/107939179803300105,https://www.semanticscholar.org/paper/bed586342fda8f4b6c925a288cb42d6e9fec088a,The acquisition of instructive feedback: A comparison of continuous versus intermittent presentation schedules,Education and Training in Mental Retardation and Developmental Disabilities,1998,The Acquisition of Instructive Feedback: A Comparison of Continuous Versus Intermittent Presentation Schedules,Education and Training in Mental Retardation and Developmental Disabilities,1998,title match (gated)
4231,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/7922961/,1992 Ontario survey of public health nurses: Perceptions of roles and activities,Canadian Journal of Public Health,1994,,,,matched paper but it has no DOI
4337,-,no-doi-found,,,https://www.semanticscholar.org/paper/ae82470f6ab177c58e8ac41a8a970f5d12477a13,Evaluation of CeaseFire-Chicago,Northwestern University,2008,,,,matched paper but it has no DOI
4380,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/6733171/,The orienting response in schizophrenia: Proposed resolution of a controversy,Biological Psychiatry,1984,,,,matched paper but it has no DOI (pmid 6733171)
4412,-,no-doi-found,,,https://www.semanticscholar.org/paper/4d65fc8ee7c923b2b67ad7b8cb8a01eb55ee4dc8,Social functions of medical practice,Jossey-Bass,1970,,,,matched paper but it has no DOI
4427,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/3153515/,Differing effects of duration of illness on CT findings in alcoholism and schizophrenia,Psychopharmacology Bulletin,1988,,,,matched paper but it has no DOI
4507,B,exact-id,10.1016/j.brs.2012.03.006,https://doi.org/10.1016/j.brs.2012.03.006,https://pubmed.ncbi.nlm.nih.gov/22494832/,Task-specific facilitation of cognition by cathodal transcranial direct current stimulation of the cerebellum,Brain Stimulation,2012,,,,pmid 22494832
4521,-,no-doi-found,,,https://www.semanticscholar.org/paper/640fcb18b5107af9dc84941c8969a6a819fcf714,Conceptual change in childhood,,1985,,,,matched paper but it has no DOI
4915,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/10955337/,The effects of a health educational and exercise programme for older adults with osteoarthritis of the hip or knee,Journal of Rheumatology,2000,,,,matched paper but it has no DOI
5180,-,no-doi-found,,,https://www.semanticscholar.org/paper/a2169e68c00d2dacc7ece343889fab24242ff69d,Le développement des quantités chez l'enfant,,1940,,,,matched paper but it has no DOI
5199,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/299600/,"Birth order, size of family of orientation, and desired family size",Journal of Individual Psychology,1977,,,,matched paper but it has no DOI (pmid 299600)
5248,-,no-doi-found,,,https://nationsreportcard.gov/arts_2008,The nation's report card: Arts 2008,National Center for Education Statistics (NCES),2009,,,,matched paper but it has no DOI
5269,-,no-doi-found,,,https://www.semanticscholar.org/paper/e23556c56ed6d164484f4ea531911490fb59fadf,Teacher perceptions of gifted and talented certification in a Southern California school district,Unpublished Doctoral Dissertation,2006,,,,matched paper but it has no DOI
5356,A,exact-id,10.1186/s13550-023-00956-9,https://doi.org/10.1186/s13550-023-00956-9,https://ejnmmires.springeropen.com/articles/10.1186/s13550-023-00956-9,Predicting PD-L1 expression status in patients with non-small cell lung cancer using [18F]FDG PET/CT radiomics,EJNMMI Research,2023,,,,doi embedded in url
5368,-,no-doi-found,,,https://www.semanticscholar.org/paper/e81c475c9a2172ca7bb121a92a290f1a4ded594c,The tell-tale eye: how your eyes reveal hidden thoughts and emotions,The Tell-tale Eye. How Your Eyes Reveal Hidden Thoughts and Emotions,1975,,,,matched paper but it has no DOI
5495,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/8023856/,"DNA replication analysis of FMR1, XIST and factor 8C loci by FISH shows nontranscribed X-linked genes replicate late",American Journal of Human Genetics,1994,,,,matched paper but it has no DOI (pmid 8023856)
5710,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/7668263/,Juvenile myoclonic epilepsy locus in chromosome 6p21.2-p11: linkage to convulsions and electroencephalography trait,American Journal of Human Genetics,1995,,,,matched paper but it has no DOI (pmid 7668263)
5847,-,no-doi-found,,,https://www.semanticscholar.org/paper/02cf8dd74bf6f25c777cd53dfb57efc52367b07f,The camel has two humps (working title),,2006,,,,matched paper but it has no DOI
5855,-,no-doi-found,,,https://www.semanticscholar.org/paper/829d0ffebecc73546c6c9fb92584047b0aa7004c,"""I was told to buy a software or lose my computer. I ignored it"": A study of ransomware",Fifteenth Symposium on Usable Privacy and Security (SOUPS 2019),2019,,,,matched paper but it has no DOI
5858,A,exact-id,10.48550/arxiv.2204.09654,https://doi.org/10.48550/arxiv.2204.09654,https://arxiv.org/abs/2204.09654,LAMNER: code comment generation using character language model and named entity recognition,arXiv,2022,,,,arxiv id in url
5886,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/11980664/,Occurrence of NKX3.1 C154T polymorphism in men with and without prostate cancer and studies of its effect on protein fun,Cancer Research,2002,,,,matched paper but it has no DOI (pmid 11980664)
5887,-,no-doi-found,,,https://www.semanticscholar.org/paper/0de6d405ca6de908503624fed4de14ba6edf5f80,Association of SNPs in glycosylation genes with risk of epithelial ovarian cancer,"Cancer Epidemiology, Biomarkers & Prevention",2008,,,,matched paper but it has no DOI
5898,-,no-doi-found,,,https://www.semanticscholar.org/paper/e16e5d9d98a03df47c1e53027bfc47ceef071d4b,Parental rearing styles and psychopathology: Notes on the validity of questionnaires for recalled parental behaviour,Parenting and Psychopathology,1994,,,,matched paper but it has no DOI
5916,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/8466415/,Technique to improve chronic motor deficit after stroke,Archives of Physical Medicine and Rehabilitation,1993,,,,matched paper but it has no DOI
6273,-,no-doi-found,,,https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d,Behavioral Characteristics of Children Known to Psychiatric Out-Patient Clinics (with special attention to adoption stat,Child Welfare League of America,1965,,,,matched paper but it has no DOI
6274,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/5797008/,Dimensions of symptom distress in anxious neurotic outpatients,Psychopharmacology Bulletin,1969,,,,matched paper but it has no DOI (pmid 5797008)
6460,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/32487284/,"Prevalence of obesity and severe obesity among adults: United States, 2017-2018",NCHS Data Brief,2020,,,,matched paper but it has no DOI (pmid 32487284)
6461,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/30707668/,"Mean body weight, height, waist circumference, and body mass index among adults: United States, 1999-2000 through 2015-2",National Health Statistics Reports,2018,,,,matched paper but it has no DOI (pmid 30707668)
6503,-,no-doi-found,,,https://www.semanticscholar.org/paper/c7a4263251c0702a63b3ae4aded4d489c3e1a6ed,Phonetic reflexes of orthographic characteristics in lexical representation,University of Arizona PhD Thesis,2008,,,,matched paper but it has no DOI
6578,-,no-doi-found,,,https://www.semanticscholar.org/paper/b8de958fead0d8a9619b55c7299df3257c624a96,Decaf: A deep convolutional activation feature for generic visual recognition,International Conference on Machine Learning,2014,,,,matched paper but it has no DOI
6592,-,no-doi-found,,,https://www.semanticscholar.org/paper/50d23e4e1050bf6a0bd0bbc20926ae5a3f160345,Provocation study using heart rate variability shows microwave radiation from 2.4 GHz cordless phone affects autonomic n,European Journal of Oncology = Giornale Europeo Di Oncologia,2010,,,,matched paper but it has no DOI
6625,-,no-doi-found,,,https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27,Merging research and practice: The example of positive peer reporting applied to social rejection,Education and Treatment of Children,1999,,,,matched paper but it has no DOI
6685,-,no-doi-found,,,https://www.semanticscholar.org/paper/a58babd02554bcd8b3eb8d47ed9a2d43130cd4b7,Using L1 in the L2 classroom,English Teaching Forum,1999,,,,matched paper but it has no DOI
6686,-,no-doi-found,,,https://www.semanticscholar.org/paper/0cd7452983ab2959d753068937fae47d9b921f16,Using the L1 in the English classroom,Forum,2002,,,,matched paper but it has no DOI
6702,-,no-doi-found,,,https://www.semanticscholar.org/paper/6e35407389f88665eabca4e614f659b2251653ca,A non-vocal system for teaching retarded children to read and write,Quality of Life in Severely and Profoundly Mentally Retarded People--research Foundations for Improvement (Book Chapter),1978,,,,matched paper but it has no DOI
6713,-,no-doi-found,,,https://www.semanticscholar.org/paper/f45d825d670811c83dbe4cecb2f7d423e6de3090,Behavior of planaria in instrumental learning paradigms,"Animal Behaviour, Supplement I",1965,,,,matched paper but it has no DOI
6734,-,no-doi-found,,,https://www.semanticscholar.org/paper/f6d61313416087eebdf25aa29c7c96340f43024b,Impact evaluation of the Minnesota Reading Corps K-3 program,Impact Evaluation of the Minnesota Reading Corps K-3 Program,2014,,,,matched paper but it has no DOI
6744,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/20376328/,Assessment of SNPs associated with the human glucocorticoid receptor in primary open-angle glaucoma and steroid responde,Molecular Vision,2010,,,,matched paper but it has no DOI (pmid 20376328)
6745,-,no-doi-found,,,https://pubmed.ncbi.nlm.nih.gov/20376328/,Assessment of SNPs associated with the human glucocorticoid receptor in primary open-angle glaucoma and steroid responde,Molecular Vision,2010,,,,matched paper but it has no DOI (pmid 20376328)
6754,-,no-doi-found,,,https://www.semanticscholar.org/paper/50d23e4e1050bf6a0bd0bbc20926ae5a3f160345,Provocation study using heart rate variability shows microwave radiation from 2.4 GHz cordless phone affects autonomic n,European Journal of Oncology,2010,,,,matched paper but it has no DOI
6784,-,no-doi-found,,,https://www.semanticscholar.org/paper/dafeb437049c75e0c25431627c9b8aaebf57c16b,Primary teachers' opinion about homework,Acta Didactica Napocensia,2015,,,,matched paper but it has no DOI
6983,A,exact-id,10.48550/arxiv.1004.2731,https://doi.org/10.48550/arxiv.1004.2731,https://arxiv.org/abs/1004.2731,Data mining the university: College GPA predictions from SAT scores,arXiv,2010,,,,arxiv id in url
7131,-,no-doi-found,,,https://www.semanticscholar.org/paper/cd8719a53517891ebccc46e09cf6c9a11d176f68,Attitudes towards attempted suicide: The development of a measurement tool,Health Science Journal,2009,,,,matched paper but it has no DOI
7141,-,no-doi-found,,,https://www.semanticscholar.org/paper/ad2c4e3d7629cc2190b665086f6c484bb0170a3f,Behavioral strategy on nutritional education,"Journal on Behavior, Health & Social Issues",2009,,,,matched paper but it has no DOI
7167,-,no-doi-found,,,https://www.semanticscholar.org/paper/f3fba9d334f265adff6093343453abfd93904fb4,Does practice make perfect? Children's and adults' constructions of graphic merit and development: A cross-cultural stud,Visual Arts Research,2007,,,,matched paper but it has no DOI
7170,-,no-doi-found,,,https://www.semanticscholar.org/paper/59d1e822173976b901623724d8c36c8e5491c102,Comparative searching styles of patrons and staff,Library Resources & Technical Services,1994,,,,matched paper but it has no DOI
7305,B,exact-id,10.1126/science.1141634,https://doi.org/10.1126/science.1141634,https://pubmed.ncbi.nlm.nih.gov/17434869/,A common variant in the FTO gene is associated with body mass index and predisposes to childhood and adult obesity,Science,2007,,,,pmid 17434869
7307,B,exact-id,10.1016/j.neuron.2007.05.022,https://doi.org/10.1016/j.neuron.2007.05.022,https://pubmed.ncbi.nlm.nih.gov/17553421/,GAB2 alleles modify Alzheimer's risk in APOE ε4 carriers,Neuron,2007,,,,pmid 17553421
7308,B,exact-id,10.1001/archneurol.2007.3,https://doi.org/10.1001/archneurol.2007.3,https://pubmed.ncbi.nlm.nih.gov/17998437/,Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease,Archives of Neurology,2008,,,,pmid 17998437
7441,-,no-doi-found,,,https://revistas.uvigo.es/index.php/vial/article/view/3,Exploring the validity of a test of productive vocabulary,VIAL: Vigo International Journal of Applied Linguistics,2004,,,,matched paper but it has no DOI
8444,-,no-doi-found,,,https://ojs.ub.uni-konstanz.de/sub/index.php/sub/article/view/143,Cognitive vs. emotive factives: An experimental differentiation,Proceedings of Sinn und Bedeutung,2018,,,,matched paper but it has no DOI
8445,-,no-doi-found,,,https://escholarship.org/uc/item/39d347bk,The first crank of the cultural ratchet: Learning and transmitting concepts through language,Proceedings of the 41st Annual Meeting of the Cognitive Science Society,2019,,,,matched paper but it has no DOI
8446,-,no-doi-found,,,https://thekeep.eiu.edu/theses/4783,Construct validity of the Behavior Assessment System for Children–Third Edition Teacher Rating Scales (BASC-3 TRS): Comp,Eastern Illinois University,2020,,,,matched paper but it has no DOI
