paper_id,verdict,llm_verdict,stat_significant,primary_outcome,primary_measure,primary_value,primary_ci,primary_p,direction_basis,confidence,rationale,override_note
10.1007/s12070-021-02616-7,favors_treatment,favors_treatment,yes,Nasopharyngeal clearance of SARS-CoV-2 (RT-PCR negativity),odds_ratio,,,0.006,statistical,high,"All PVP-I concentrations achieved significantly higher RT-PCR negativity than controls (p=0.006), indicating viral clearance benefit.",
10.1016/0166-3542(83)90034-7,no_difference,no_difference,no,Clinically diagnosed mild or worse colds,risk_difference,,,0.05,statistical,medium,"Primary outcome (cold incidence) was not statistically significant (2/17 vs 5/19, p=0.05).",
10.1016/0166-3542(88)90022-8,no_difference,no_difference,unknown,Clinically diagnosed significant colds,risk_difference,-0.235,,,statistical,high,Primary outcome (significant colds) showed lower rate in combination arm but no difference reached statistical significance.,
10.1016/j.biopha.2022.112729,no_difference,no_difference,no,Mean reduction rate (MRR) of viral load (cycle threshold value),mean_difference,17,,0.09,statistical,medium,"Primary outcome MRR of viral load showed p=0.09, failing to reach statistical significance despite favorable point estimate.",
10.1016/0166-3542(88)90055-1,no_difference,no_difference,unknown,Infection rate (virus culture-positive or seroconversion),risk_difference,-0.067,,,statistical,high,"Both studies showed no significant effect on primary outcomes: infection rate (RD=-0.067, not significant) and illness rate (no effect reported).",
10.1016/0166-3542(90)90061-b,mixed,mixed,no,Incidence of common cold (prophylactic trial),risk_difference,,,0.05,statistical,high,Prophylactic interferon significantly reduced cold incidence (p<0.05); therapeutic interferon showed no benefit on its primary cold-severity outcome.,
10.1016/0166-3542(88)90033-2,inconclusive,inconclusive,no,Withdrawal from study for any reason,risk_difference,,,0.05,narrative,high,"Primary outcome is safety/withdrawal, not efficacy; no antiviral efficacy endpoint was assessed.",
10.1016/j.ejps.2025.107069,inconclusive,inconclusive,unknown,AEs per subject rate,mean_difference,0.03,,,narrative,high,Phase I trial with only safety/PK primary outcomes; no efficacy outcome assessed.,
10.1016/j.lansea.2022.100036,favors_treatment,favors_treatment,yes,Mean change from baseline in SARS-CoV-2 RNA (log10 copies/mL) through Day 8 (end of treatment),mean_difference,-0.82,-1.37–-0.27,,statistical,high,"Primary outcome showed significant viral load reduction (mean difference -0.82 log10, 95% CI -1.37 to -0.27, p=0.003).",
10.1016/j.antiviral.2007.11.009,inconclusive,inconclusive,unknown,,,,,,narrative,high,Phase 1 safety/tolerability trial only; no efficacy outcomes assessed or reported.,
10.1016/j.lanepe.2021.100084,inconclusive,inconclusive,unknown,Fractional exhaled nitric oxide (FeNO),mean_difference,,,,narrative,high,Phase 1 trial reported only safety/PK outcomes with no efficacy endpoint assessed.,
10.1016/j.prevetmed.2015.04.008,no_difference,no_difference,no,BRDc positive incidence (clinical definition: temperature >=103.5°F and clinical score >=3),risk_difference,2.0,,0.3,statistical,high,BRDc incidence risk difference 2.0% was not significant (p=0.3); non-inferiority was met but superiority was not.,
10.1017/ash.2022.199,inconclusive,inconclusive,unknown,SARS-CoV-2 viral load (midturbinate nasal swab),mean_difference,,,,narrative,high,No primary efficacy data reported; only feasibility and acceptability results available at interim analysis.,
10.1016/s0002-9343(01)00765-3,no_difference,no_difference,no,Duration of all symptoms (time to resolution),hazard_ratio,,,0.45,statistical,high,"Primary outcome (symptom duration) identical at 7 days in both arms (p=0.45), showing no significant effect.",
10.1016/j.vaccine.2010.03.062,favors_treatment,favors_treatment,yes,IgM seroconversion rate for Influenza A virus (Flu-A),risk_ratio,0.232,0.151–0.357,,statistical,high,Four of five primary seroconversion outcomes showed significant RR reductions (0.23–0.41); only RSV was non-significant.,
10.1017/s0950268800029484,no_difference,no_difference,no,Laboratory-proven viral infection (virus isolation and/or antibody response),risk_ratio,1.109,0.769–1.6,,statistical,high,Primary outcome RR=1.11 (95% CI 0.77–1.60) crosses the null; no significant benefit for combined interferon vs placebo.,
10.1038/s41598-022-14601-3,inconclusive,inconclusive,unknown,,,,,,narrative,high,Phase 1 safety-only study; all primary outcomes are adverse-event domains with no efficacy outcome assessed.,
10.1038/s41598-023-42539-7,favors_treatment,favors_treatment,yes,SARS-CoV-2 neutralizing antibody SIP in nasal fluids — Ancestral variant,mean_difference,,,0.00012207,statistical,high,"NAS significantly increased nasal neutralizing antibody SIP vs placebo for all three variants (p<0.001), with no safety signal.",
10.1038/s41598-023-32546-z,favors_treatment,favors_treatment,yes,SARS-CoV-2 viral load kinetics (ORF 1a/b gene) - AUC over 11 days,mean_difference,5.25,,0.007,statistical,high,"0.1% azelastine significantly reduced viral load AUC vs placebo (24.14 vs 18.89, p=0.007).",
10.1089/jir.1980.1.169,favors_treatment,favors_treatment,yes,Incidence of fever due to upper respiratory disease,risk_difference,,,0.02,statistical,high,"Both primary outcomes (fever and URI symptoms) were significantly lower in the interferon arm (p<0.02, p<0.01).",
10.1086/512858,favors_treatment,favors_treatment,yes,Viral shedding (HRV16 titer) in nasal lavage on day 2,rate_ratio,,,0.01,statistical,high,Primary outcome (day 2 viral shedding) was significantly lower in the spray arm (p<0.01).,
10.1073/pnas.2319566121,inconclusive,inconclusive,unknown,,,,,,narrative,medium,"No formal between-group statistical test for the primary ISG responder rate was reported, preventing a definitive efficacy conclusion.",
10.1086/341455,no_difference,favors_treatment,no,Total daily symptom score,rate_ratio,1.51,1.0–2.26,,statistical,medium,"Total symptom score rate_ratio 1.51 (95% CI 1.0–2.26, p=0.05) favors full treatment over placebo.",downgraded: primary CI/p non-significant
10.1056/nejm199709253371302,favors_treatment,favors_treatment,yes,Time to alleviation of all major symptoms of influenza,mean_difference,-1.0,-1.8–-0.1,,statistical,high,"Zanamivir reduced time to symptom alleviation by 1 day vs placebo (p=0.02, CI excludes null).",
10.1089/jir.1988.8.591,favors_control,favors_control,yes,Mean total clinical score,mean_difference,9.4,,0.024,statistical,high,"IFN-gamma recipients had significantly higher clinical scores (MD=9.4, p=0.024), indicating harm versus placebo.",
10.1093/infdis/127.4.401,no_difference,no_difference,unknown,Infection rate (virus isolation or antibody seroconversion),risk_difference,0.0,,,statistical,high,100% infection rate in both arms; clinical illness difference (RD=-0.06) was not statistically significant.,
10.1093/cid/ciaf409,mixed,mixed,yes,Incidence of COVID-19 infection within 90 days of randomization,risk_ratio,0.6,0.33–0.97,,statistical,high,"COVID-19 primary outcome significantly favors treatment (RR 0.60, CI excludes 1), but other respiratory viruses primary outcome is null (RR 1.12, CI includes 1).",
10.1089/jir.1984.4.535,mixed,mixed,no,Clinically diagnosed colds (mild or worse) — rhinovirus trial,risk_difference,-0.304,,0.05,statistical,high,"Rhinovirus trial: significant prevention (p=0.05); influenza A trial: similar RD but non-significant, constituting two conflicting co-primary outcomes.",
10.1093/infdis/138.4.531,no_difference,favors_treatment,no,Cumulative mean symptom score,mean_difference,,,0.05,narrative,medium,"Prophylactic CP-20,961 significantly reduced symptom scores (p<0.05) versus placebo on the primary cumulative symptom outcome.",downgraded: primary CI/p non-significant
10.1093/infdis/137.1.82,no_difference,no_difference,unknown,Daily clinical score (symptom severity),mean_difference,,,,narrative,high,Daily symptom severity showed no statistically significant difference between arms despite favorable numerical trends.,
10.1093/infdis/148.3.543,favors_treatment,favors_treatment,yes,Rhinovirus infection rate (virus shedding and/or seroconversion),risk_difference,-0.58,,0.02,statistical,high,"Primary infection rate reduced by 58% (risk_difference=-0.58, p=0.02) in the IFN-a2 arm vs placebo.",
10.1089/jir.1986.6.153,no_difference,no_difference,unknown,"Clinically significant cold (mild, moderate, or severe)",risk_difference,-22.2,,,statistical,medium,"Primary outcome (clinically significant cold: 3 vs 9 volunteers) lacks a reported p-value, so statistical significance cannot be confirmed.",
10.1093/infdis/133.supplement_2.a121,no_difference,favors_treatment,no,Number of virus-positive nasal wash specimens,risk_difference,-13,,0.05,statistical,medium,"Multi-dose regimens significantly reduced illness rate (-27%, p=0.05) and symptom severity (-66%, p=0.01) vs control.",downgraded: primary CI/p non-significant
10.1093/infdis/150.2.181,favors_treatment,favors_treatment,yes,Frequency of illness (proportion ill after rhinovirus challenge),risk_ratio,,,0.032,statistical,high,"2.4M dose significantly reduced illness frequency vs placebo (29% vs 73%, p=0.032), the primary efficacy outcome.",
10.1093/infdis/148.3.535,favors_treatment,favors_treatment,yes,Illness frequency (number ill / total treated),risk_difference,,,0.003,statistical,high,"Primary outcome illness frequency was significantly reduced in the rIFN-aA arm (7.1% vs 66.7%, p<0.003).",
10.1093/infdis/154.3.443,favors_treatment,favors_treatment,yes,Met symptom criteria for a cold,risk_difference,,,0.02,statistical,high,"Primary outcome (met cold criteria) significantly favored interferon: 41% vs 73%, p=0.02.",
10.1093/infdis/150.2.174,no_difference,no_difference,unknown,Cold incidence rate (% of all subjects meeting cold criteria),risk_difference,,,,narrative,high,IFN-α2 did not prevent rhinoviral colds; cold rates were similar (~73-83%) across all groups.,
10.1093/infdis/154.1.128,favors_treatment,favors_treatment,yes,Rhinovirus infection during prophylaxis period (twice-daily schedule),risk_ratio,0.24,,0.01,statistical,high,"Twice-daily IFN-a2b reduced rhinovirus infection risk (RR=0.24, p=0.01), a statistically significant benefit on the primary outcome.",
10.1093/infdis/166.4.776,no_difference,no_difference,no,Total symptom score (5-day period),mean_difference,,,0.055,statistical,high,"Primary outcome (total symptom score) did not reach significance (p=0.055), failing the p<0.05 threshold.",
10.1093/infdis/158.1.166,favors_treatment,favors_treatment,unknown,Incidence of clinical colds (efficacy study),risk_difference,-0.39,,,statistical,high,"High-dose rIFN-βser reduced clinical cold incidence by 39 percentage points (25% vs 64%, P<0.05) vs placebo.",
10.1093/jac/18.supplement_b.153,inconclusive,inconclusive,unknown,,,,,,narrative,low,This is a narrative review summarizing multiple trials; no between-group effect sizes or statistics are reported for any primary outcome.,
10.1093/infdis/160.4.700,no_difference,no_difference,no,Rhinovirus-documented cold (1986 study),risk_ratio,0.48,,0.3,statistical,high,"Neither 1986 (RR=0.48, p=0.3) nor 1987 (RR=1.19, NS) rhinovirus cold rates reached statistical significance.",
10.1093/oxfordjournals.aje.a114683,no_difference,no_difference,unknown,Influenza B infection prevention (virus isolation or serologic evidence),risk_ratio,,,,narrative,high,"Interferon did not prevent influenza B infection or modify illness, consistent with no significant benefit on the primary outcome.",
10.1128/aac.14.4.596,mixed,mixed,yes,"VSV yield from nasal epithelial cells — nasal drops 80,000 U + antihistamine vs untreated control",mean_difference,-0.54,,0.025,statistical,medium,"Cotton pledget arms (≥20,000 U) showed significant VSV reduction (p=0.025), while nose-drop arms did not reach significance.",
10.1101/2021.04.13.21255409,favors_treatment,favors_treatment,yes,"COVID-19 incidence (symptomatic, PCR-confirmed)",odds_ratio,0.19,0.05–0.77,,statistical,high,"Iota-Carrageenan reduced PCR-confirmed COVID-19 incidence vs placebo (OR 0.19, 95% CI 0.05–0.77, p=0.03).",
10.1128/aac.15.2.269,no_difference,no_difference,no,Virus isolation from nasal wash (rhinovirus type 21),risk_difference,0.313,,0.05,statistical,high,All primary outcomes showed no statistically significant between-group differences; the one borderline p=0.05 result is not significant.,
10.1128/aac.24.5.713,favors_treatment,favors_treatment,yes,Clinically diagnosed cold (mild or worse),risk_ratio,,,0.01,statistical,high,"Interferon significantly reduced clinically diagnosed colds (2/35 vs 13/35, p<0.01), the primary efficacy outcome.",
10.1128/aac.39.2.290,no_difference,no_difference,unknown,Duration of illness,mean_difference,-0.2,,,statistical,high,Primary outcome illness duration showed no significant difference (mean difference −0.2 days) between pirodavir and placebo.,
10.1128/aac.32.2.224,no_difference,no_difference,no,Median duration of cold (time to subjective resolution) - all subjects,hazard_ratio,,,0.06,statistical,high,"Primary outcome (cold duration) showed no significant difference (p=0.06), failing to reach statistical significance.",
10.1128/aac.26.1.31,favors_treatment,favors_treatment,yes,Rhinovirus infection confirmed by culture during treatment,risk_difference,,,0.0002,statistical,high,"Rhinovirus infection rate was 0/151 vs 13/153 (p=0.0002), showing 100% prevention in the treatment arm.",
10.1136/bmj.284.6332.1822,inconclusive,inconclusive,unknown,Postoperative deep venous thrombosis detected by 125I-fibrinogen-uptake test,risk_ratio,,,,narrative,high,Paper excerpt ends before results are presented; no efficacy data extractable. Trial does not involve nasal spray.,
10.1128/aac.33.3.387,no_difference,no_difference,unknown,Symptomatic cold episodes during therapy (all cycles),risk_difference,0.028,,,statistical,high,Primary outcome risk_difference = 0.028 favors control (non-significantly); cold rates were paradoxically higher in IFN arm.,
10.1128/aac.36.4.727,favors_treatment,favors_treatment,yes,Rhinovirus infection rate (virus shedding or seroconversion),risk_difference,-42,,0.015,statistical,high,"6x/day pirodavir significantly reduced infection rate (RD=-42%, p=0.015) and clinical cold rate (RD=-46%, p=0.03) vs placebo.",
10.1136/ebm.5.3.80,favors_treatment,favors_treatment,yes,Time to alleviation of clinical symptoms,mean_difference,-1,,0.014,statistical,high,"Zanamivir reduced time to symptom alleviation by 1 day vs placebo (6 vs 7 days, p=0.014).",
10.1136/thx.46.10.706,no_difference,no_difference,no,Lower respiratory tract infection rate,risk_difference,,,0.58,statistical,high,Primary outcome (LRTI rate 23% vs 27%) showed no significant difference (p=0.58).,
10.1136/bmjopen-2023-073735,inconclusive,inconclusive,unknown,,,,,,narrative,high,"Paper reports only questionnaire validation (Cronbach's alpha, ICC); no antiviral efficacy outcomes measured or reported.",
10.1128/aac.47.12.3907-3916.2003,favors_treatment,favors_treatment,yes,Proportion of subjects with positive viral culture (prophylaxis primary endpoint),risk_difference,-26.0,,0.03,statistical,high,"Both primary outcomes significant: prophylaxis reduced positive cultures (RD=-26%, p=0.03) and treatment reduced symptom scores (MD=-1.1, p=0.01).",
10.1128/iai.9.3.506-510.1974,no_difference,no_difference,no,Incidence of illness,risk_difference,,,0.1,statistical,high,Primary outcome (illness incidence) showed no significant difference between arms (p>0.10).,
10.1159/000097758,inconclusive,inconclusive,unknown,Mean nasal airflow (rhinomanometry),mean_difference,17.0,,,narrative,high,Phase I safety/tolerability study with no efficacy primary outcome; airflow difference not statistically significant and descriptive only.,
10.1177/00912700022008900,inconclusive,inconclusive,unknown,,,,,,narrative,high,"Trial reports only pharmacokinetic parameters (CL/F, V/F, ka, bioavailability); no efficacy outcomes are assessed.",
10.1177/135965359900400202,favors_treatment,favors_treatment,yes,"Time to alleviation of three major influenza symptoms (fever, headache, myalgia)",hazard_ratio,,,0.0017,statistical,high,Combined zanamivir significantly reduced time to alleviation of three major symptoms vs placebo (median 3 vs 4 days; P=0.0017).,
10.1186/1465-9921-11-108,favors_treatment,favors_treatment,yes,Total Symptom Score (TSS) mean of days 2-4,mean_difference,-1.66,,0.046,statistical,high,"TSS days 2-4 was significantly lower in the carrageenan arm (4.62 vs 6.28, p=0.046).",
10.1186/1465-9921-14-124,mixed,mixed,no,Duration of disease (time until last day with symptoms followed by all other days without symptoms),hazard_ratio,1.24,0.88–1.73,,statistical,medium,"PP-VP population showed significant benefit (HR 1.24, p=0.037) but ITT-VP primary outcome was null (p=0.077).",
10.1183/23120541.00199-2024,no_difference,no_difference,no,Duration of quantifiable viral RNA detection by qRT-PCR (duration of infection),mean_difference,,,0.0738,statistical,high,Pre-specified primary analyses (ITT/ITT-i) showed no significant treatment differences; positive post-hoc mITT-i findings are not primary outcomes.,
10.1186/s12879-024-09137-y,mixed,mixed,yes,Viral survival duration (days of SARS-CoV-2 detectability by RT-PCR),hazard_ratio,,,0.046,statistical,low,"Viral duration significantly favored treatment (p=0.046), but Ct values showed no difference (p=1.0), with both listed as primary outcomes.",
10.1186/1472-6882-12-147,no_difference,no_difference,unknown,Mean Total Symptom Score (TSS) on days 2-7,mean_difference,-0.2,,,statistical,high,Primary outcome TSS showed no significant difference (mean difference -0.2) between iota-carrageenan and placebo groups.,
10.15789/1563-0625-eoi-2300,favors_treatment,favors_treatment,yes,IL-1β concentration in nasal secretions,mean_difference,22.77,,0.01,statistical,medium,"Interferon arm reduced IL-1β (harmful, p=0.01) and increased IL-1ra (beneficial, p=0.05) vs standard therapy.",
10.1186/s12931-015-0281-8,no_difference,no_difference,no,Total Symptom Score Days 2-4 (TSS2-4),mean_difference,-0.61,-1.32–0.1,,statistical,high,"Primary outcome TSS2-4 showed a non-significant trend favoring I-C (p=0.0895, 95% CI crossing null).",
10.21203/rs.3.rs-500168/v1,no_difference,no_difference,unknown,Nasal cavity SARS-CoV-2 viral load by qPCR (Ct value),mean_difference,,,,narrative,high,No significant reduction in nasal viral load (qPCR Ct values) observed in either irrigation group versus control.,
10.18103/mra.v10i3.2752,no_difference,favors_treatment,no,COVID-19 symptom severity (Visual Analogue Scale),mean_difference,,,0.05,statistical,medium,"CPM reduced symptom severity (p<0.001 trend) and hospitalization rate vs placebo (0% vs 15.4%, p=0.023).",downgraded: primary CI/p non-significant
10.2147/ijgm.s328486,favors_treatment,favors_treatment,yes,COVID-19 incidence (symptomatic illness confirmed by PCR for SARS-CoV-2),odds_ratio,0.19,0.05–0.77,,statistical,high,"PCR-confirmed COVID-19 was significantly lower with iota-carrageenan vs placebo (OR 0.19, 95% CI 0.05–0.77, p=0.03).",
10.1177/135965359900400302,mixed,mixed,yes,Viral shedding (isolation of challenge virus from nasal blow or throat gargle),risk_difference,,,0.005,statistical,medium,Viral shedding significantly reduced (p=0.005) but infection outcome did not reach significance (p=0.081) for the 4h arm.,
10.3389/fimmu.2022.899617,inconclusive,inconclusive,unknown,,,,,,narrative,high,Phase 1 safety/PK trial explicitly not designed to evaluate efficacy; primary outcome is adverse events only.,
10.3389/fmed.2022.863917,favors_treatment,favors_treatment,yes,PCR positivity rate on day 4 post-treatment,risk_difference,-29,,0.0001,statistical,high,"All five primary outcomes (PCR positivity days 4/7/10, symptom/PCR transmission rates) significantly favored treatment (all p<0.01).",
10.32388/dp7zsf.2,no_difference,no_difference,no,Fever,odds_ratio,0.897,0.36–2.23,,statistical,high,"Primary outcome (fever) showed OR=0.897, 95% CI 0.36–2.23, p=0.816: clearly non-significant.",
10.26442/terarkh201890114-54,no_difference,no_difference,unknown,Duration of fever (days),mean_difference,-0.4,,,statistical,high,Primary outcome (fever duration) showed mean difference of -0.4 days with no reported statistical significance.,
10.33667/2078-5631-2019-1-9(384)-38-46,no_difference,no_difference,no,Weakness (слабость) - symptom severity score,mean_difference,-1,,0.05,statistical,medium,"Primary outcome (weakness score) showed mean difference -1 with p=0.05, which does not meet the p<0.05 significance threshold.",
10.3390/ijerph182010985,favors_treatment,favors_treatment,yes,Mean time to rRT-PCR SARS-CoV-2 RNA negative conversion of naso-oropharyngeal swab,mean_difference,-12.88,,0.0001,statistical,medium,"bLf reduced mean time to PCR negativity by 12.88 days vs SOC (p=0.0001), though non-randomized design limits causal inference.",
10.3389/fphar.2023.1292479,favors_treatment,favors_treatment,yes,"Antigen negative conversion rate on day 5 (Phase 2, primary endpoint)",risk_difference,,,0.044,statistical,high,"Primary outcome antigen negative conversion rate at day 5 was significantly higher in lentinan arm (36.2% vs 13.0%, p=0.044).",
10.34883/pi.2021.9.4.017,no_difference,favors_treatment,no,Nasal congestion (obstruction) — number of children with symptom,risk_difference,,,0.05,statistical,high,"All three primary symptom outcomes (congestion, rhinorrhea, cough) were significantly better in the Lysobact Rino arm (p≤0.05).",downgraded: primary CI/p non-significant
10.3389/fmed.2025.1565069,no_difference,no_difference,no,Global Severity Score (GSS) - mean total score Days 2-6,mean_difference,4.55,-0.08–9.17,,statistical,high,"Both primary outcomes (GSS p=0.054, NSS p=0.217) failed to reach statistical significance; subgroup benefits are post-hoc only.",
10.3390/pharmaceutics16091173,no_difference,no_difference,no,SARS-CoV-2 RNA viral burden area under the curve Day 1 through Day 8 (vAUCd1–8) — all ages (mITT),mean_difference,-1.2,-3.6–1.2,,statistical,high,"Primary outcome (viral burden AUC, all-ages mITT) showed non-significant reduction (p=0.344); subgroup benefits are secondary.",
10.4178/epih.e2021032,no_difference,no_difference,no,Length of hospital stay (time from treatment start to discharge),mean_difference,-0.29,,0.65,statistical,high,"Length of hospital stay showed no significant difference (mean difference -0.29 days, p=0.65).",
10.3390/pharmaceutics14112502,favors_treatment,favors_treatment,yes,Viral shedding time (VST) / time to first negative antigenic swab test,odds_ratio,7.39,1.83–29.8,,statistical,high,"Nasal spray significantly reduced viral shedding time (OR 7.39, 95% CI 1.83–29.8, p=0.004) vs. standard care.",
10.7759/cureus.27182,no_difference,no_difference,no,COVID-19 symptom severity (Visual Analog Scale),mean_difference,,,0.124,statistical,high,"Both primary outcomes (VAS p=0.124, DSS p=0.448) showed no statistically significant difference between xylitol and saline.",
10.4178/epih.e2021051,no_difference,no_difference,no,Relief of cough symptoms,risk_difference,,,0.4,statistical,high,Primary outcomes show no significant benefit: cough relief p=0.4 and HR=0.99 (95% CI 0.60–1.63) for clinical relief.,
10.1002/prp2.810,favors_treatment,favors_treatment,yes,Recovery rate from common cold (all viruses) — Cox regression risk ratio,rate_ratio,1.54,1.15–2.1,,statistical,high,"Recovery rate RR=1.54 (95% CI 1.15–2.1, p=0.003) significantly favors iota-carrageenan over placebo.",
10.1007/s12519-023-00749-z,favors_treatment,favors_treatment,yes,Duration of viral shedding from start of trial,hazard_ratio,1.25,1.03–1.52,,statistical,high,"Primary outcome (viral shedding duration) significantly favored nasal irrigation: HR 1.25, 95% CI 1.03–1.52, p=0.027.",
10.1002/jmv.28805,favors_treatment,favors_treatment,yes,Viral clearance time,hazard_ratio,,,0.001,statistical,medium,"Viral clearance time significantly shorter in HH-120 arm (8 vs 10 days, p<0.001), favoring treatment.",
10.1002/jmv.29275,no_difference,no_difference,no,"SARS-CoV-2 infection rate (NS02-Part1, general contact)",hazard_ratio,0.342,0.11–1.08,,statistical,high,Both RCT primary outcomes (NS02-Part1 HR=0.342 p=0.055; NS02-Part2 HR=0.496 p=0.185) failed to reach statistical significance.,
10.1016/j.jinf.2021.05.009,inconclusive,inconclusive,yes,Transient bradycardia incidence,odds_ratio,2.153,1.052–4.405,,narrative,high,This is not a nasal spray trial; it is a remdesivir observational study ineligible for this meta-analysis.,flag: primary stat-significant but LLM judged null — review
10.1007/bf03256603,favors_treatment,favors_treatment,yes,Viral shedding (protective efficacy) — experimental challenge prophylaxis,risk_difference,,,0.001,statistical,high,Both primary outcomes favor zanamivir: 96% viral shedding protection (p<0.001) and 1-day faster symptom alleviation (p=0.05).,
10.1016/0166-3542(84)90027-5,inconclusive,inconclusive,unknown,Intranasal clearance rate of HuIFN-alpha2 before vs. after rhinovirus challenge,mean_difference,,,,narrative,high,Single-arm pharmacokinetic study with no comparator and no efficacy outcome; authors explicitly disclaim therapeutic intent.,
10.1016/j.ijid.2021.04.035,favors_treatment,favors_treatment,yes,Laboratory-confirmed SARS-CoV-2 infection,risk_difference,24.0,,0.011,statistical,high,"Povidone-iodine reduced lab-confirmed SARS-CoV-2 infection by 24% absolute risk (p=0.011, below Bonferroni-corrected threshold).",
10.1073/pnas.0912186107,inconclusive,inconclusive,unknown,,,,,,narrative,high,"Supplementary document only; primary efficacy outcomes (infection rate, viral load, symptoms) are absent from this file.",
10.1093/infdis/151.4.731,no_difference,no_difference,no,Number of volunteers experiencing respiratory episodes (medication phase),risk_ratio,,,0.3,statistical,high,Primary outcome (respiratory episodes) showed no significant difference between IFN and placebo (p=0.3).,
10.1093/bjs/znab259.508,inconclusive,inconclusive,unknown,,,,,,narrative,high,Protocol-only abstract; no efficacy outcome results reported for the primary COVID-19 acquisition endpoint.,
10.1080/22221751.2023.2212806,favors_treatment,favors_treatment,yes,Laboratory-confirmed symptomatic COVID-19,rate_ratio,0.19,0.08–0.48,,statistical,high,"SA58 reduced lab-confirmed symptomatic COVID-19 by 80.82% (rate_ratio=0.19, 95% CI 0.08–0.48), statistically significant.",
10.1101/2023.03.17.23287398,inconclusive,inconclusive,unknown,,,,,,narrative,high,Trial was a safety/PK study not powered for efficacy; no between-group efficacy comparison reported.,
10.1111/coa.14056,no_difference,favors_treatment,no,Nasopharyngeal viral load reduction (quantitative RT-PCR),mean_difference,,,0.05,narrative,medium,Combined PVP-I plus hypertonic alkaline nasal irrigation significantly reduced nasopharyngeal viral load more than standard care by day 3 (p<0.05).,downgraded: primary CI/p non-significant
10.1101/2023.03.19.23287462,favors_treatment,favors_treatment,unknown,Total effectiveness against SARS-CoV-2 infection,risk_ratio,0.3379,,,statistical,medium,"SA58 reduced SARS-CoV-2 infection risk by 51.5% (HR 0.485, 95% CI 0.354–0.665) vs. external controls.",
10.1183/13993003.congress-2025.pa3911,inconclusive,inconclusive,unknown,,,,,,narrative,high,Phase Ib trial reported only safety/tolerability and immunological biomarker data; no between-group efficacy outcome was assessed.,
10.1177/095632029000100501,mixed,mixed,no,"Incidence of clinical cold (significant clinical symptoms) — Trial C (post-exposure: drug started 22h after challenge, 30 doses over 5 days)",risk_difference,,,0.05,statistical,medium,"Prophylactic trials B and C showed significant cold reduction, but therapeutic trial showed significant harm (higher clinical scores).",
10.15574/pp.2016.65.27,inconclusive,inconclusive,unknown,,,,,,narrative,high,No quantitative efficacy data or statistical comparisons reported; only safety conclusions drawn from abstract.,
10.1186/2049-6958-9-57,favors_treatment,favors_treatment,yes,"Duration of common cold symptoms (all virus-positive patients, ITT)",mean_difference,-1.9,,0.002,statistical,high,"Carrageenan reduced cold duration by 1.9 days vs placebo (p=0.002), a statistically significant benefit on the primary outcome.",
